"Alpha","Beta","Gamma","b","products_1","charge_pdt_1","products_2","charge_pdt_2","Product_3","charge_pdt_3","react_type"
"90","180","0","2.60","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","2.70","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","2.80","C2H3","0.952068246","H3","0.043006479","P","0.004925275","4A"
"90","180","0","2.90","C2H3","0.887677414","H3","0.062776704","P","0.049545881","4A"
"90","180","0","3.00","C2H3","0.948727336","H3","0.044246332","P","0.007026332","4A"
"90","180","0","3.10","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.20","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.30","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.40","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.60","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.70","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.80","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.90","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.10","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.20","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.30","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.40","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.60","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.70","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.80","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.90","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.10","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.20","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.30","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.40","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.60","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.70","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.80","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.90","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","6.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","6.10","C2H4","NA","NA","NA","P","NA","1"
